"Pair","binance_-5","binance_5","bitfinex_-5","bitfinex_5","bittrex_-5","bittrex_5","huobi_-5","huobi_5","kraken_-5","kraken_5"
"BATBTC",96.6,47.3,NA,NA,101,42.8,36.9,19.4,21.8,7.59
"BATUSD",41.2,27.9,NA,NA,7.19,3.12,3.17,2.1,20.5,9.67
"BTCGRIN",NA,NA,NA,NA,5.42,2.92,NA,NA,NA,NA
"BTCZEN",NA,NA,NA,NA,5.61,2.51,NA,NA,NA,NA
"BTGBTC",34.9,17.3,28.6,24.2,NA,NA,6.48,2.63,NA,NA
"BTGUSD",NA,NA,38,33.8,NA,NA,NA,NA,NA,NA
"DCRBTC",67.8,14.1,NA,NA,43.4,15.7,24.1,10.9,NA,NA
"DCRUSD",NA,NA,NA,NA,NA,NA,8.86,10.6,NA,NA
"DGBBTC",NA,NA,NA,NA,42.6,33,4,1.28,NA,NA
"DGBUSD",NA,NA,NA,NA,9.72,3.27,NA,NA,NA,NA
"GRINUSD",NA,NA,NA,NA,1.22,0.0291,NA,NA,NA,NA
"NANOBTC",102,46,NA,NA,NA,NA,17.4,6.05,NA,NA
"NANOUSD",34.9,17,NA,NA,NA,NA,17.2,4.76,NA,NA
"XTZBTC",NA,NA,80.2,71.3,NA,NA,29.5,13.7,150,138
"XTZUSD",NA,NA,76.8,72,NA,NA,7.83,4.9,91.1,53.2
"XZCBTC",23.6,15.9,NA,NA,NA,NA,9.4,3.61,NA,NA
"XZCUSD",NA,NA,NA,NA,NA,NA,4.98,0.861,NA,NA
"ZENBTC",28.3,8.27,NA,NA,NA,NA,NA,NA,NA,NA
"ZENUSD",NA,NA,NA,NA,21.7,1.33,NA,NA,NA,NA
